# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		8223		4004		3138
1		7319		6901		3128
2		6759		9330		3237
3		6217		11545		3252
4		5730		13430		3241
5		5275		15138		3240
6		5012		16633		3255
7		4699		17995		3279
8		4417		19132		3280
9		4189		20203		3269
10		3993		21153		3283
11		3818		22004		3293
12		3714		22745		3281
13		3562		23452		3268
14		3461		24138		3276
15		3317		24805		3281
16		3207		25435		3272
17		3098		25955		3291
18		3028		26425		3295
19		2956		26942		3309
20		2865		27416		3303
21		2802		27833		3307
22		2707		28196		3306
23		2699		28522		3311
24		2688		28904		3320
25		2632		29217		3335
26		2612		29526		3329
27		2554		29842		3325
28		2507		30113		3329
29		2471		30370		3323
30		2415		30612		3339
31		2395		30819		3340
32		2368		31059		3333
33		2359		31263		3344
34		2321		31444		3331
35		2305		31631		3331
36		2283		31804		3334
37		2258		31986		3337
38		2270		32160		3332
39		2255		32325		3331
40		2232		32445		3345
41		2218		32568		3344
42		2209		32695		3331
43		2188		32836		3329
44		2168		32957		3335
45		2159		33099		3335
46		2150		33245		3345
47		2128		33377		3342
48		2101		33489		3335
49		2092		33595		3340
50		2093		33737		3347
51		2068		33887		3349
52		2073		33997		3348
53		2045		34132		3348
54		2034		34241		3342
55		2028		34336		3336
56		2033		34452		3337
57		2029		34561		3343
58		2010		34684		3343
59		2002		34801		3348
60		2007		34917		3341
61		1976		35019		3349
62		1958		35101		3353
63		1951		35174		3354
64		1937		35259		3347
65		1934		35319		3352
66		1923		35372		3363
67		1922		35407		3357
68		1909		35461		3359
69		1904		35512		3354
70		1896		35554		3354
71		1897		35602		3352
72		1882		35643		3353
73		1878		35689		3357
74		1869		35717		3358
75		1869		35745		3358
76		1870		35776		3363
77		1871		35808		3362
78		1868		35846		3366
79		1875		35878		3367
80		1860		35916		3359
81		1864		35961		3362
82		1863		35988		3362
83		1854		36012		3359
84		1848		36033		3358
85		1846		36057		3363
86		1848		36091		3359
87		1847		36119		3357
88		1847		36136		3360
89		1845		36154		3364
90		1847		36178		3359
91		1846		36212		3358
92		1845		36231		3352
93		1847		36261		3350
94		1845		36285		3352
95		1852		36316		3355
96		1851		36356		3351
97		1842		36394		3350
98		1831		36419		3355
99		1831		36450		3357
100		1826		36481		3359
101		1826		36510		3353
102		1824		36533		3359
103		1820		36549		3355
104		1821		36569		3358
105		1814		36589		3357
106		1819		36603		3358
107		1826		36629		3362
108		1820		36656		3360
109		1818		36678		3359
110		1821		36696		3358
111		1814		36711		3360
112		1813		36722		3358
113		1810		36736		3358
114		1808		36751		3358
115		1801		36769		3361
116		1798		36782		3360
117		1799		36787		3359
118		1802		36804		3358
119		1799		36816		3359
120		1797		36828		3363
121		1799		36844		3359
122		1794		36866		3357
123		1792		36877		3361
124		1791		36887		3361
125		1792		36894		3360
126		1789		36900		3359
127		1790		36907		3360
128		1784		36916		3360
129		1786		36924		3362
130		1789		36933		3366
131		1792		36949		3365
132		1782		36963		3362
133		1782		36968		3363
134		1780		36969		3364
135		1780		36971		3364
136		1780		36973		3364
137		1780		36973		3364
138		1780		36974		3364
139		1780		36977		3364
140		1780		36978		3364
141		1781		36979		3364
142		1782		36981		3364
143		1776		36985		3361
144		1776		36985		3361
145		1776		36988		3363
146		1776		36989		3361
147		1776		36991		3361
148		1776		36992		3363
149		1776		36996		3361
150		1777		36997		3361
151		1779		36999		3362
152		1779		37002		3360
153		1780		37011		3360
154		1780		37019		3361
155		1781		37023		3362
156		1779		37027		3362
157		1783		37037		3361
158		1783		37043		3362
159		1779		37051		3364
160		1779		37061		3362
161		1779		37068		3360
162		1780		37073		3363
163		1781		37077		3362
164		1779		37082		3363
165		1779		37086		3362
166		1779		37090		3363
167		1779		37094		3363
168		1779		37097		3362
169		1776		37099		3362
170		1777		37106		3363
171		1776		37115		3363
172		1775		37121		3362
173		1776		37124		3362
174		1783		37145		3362
175		1788		37154		3365
176		1791		37168		3367
177		1784		37181		3366
178		1781		37200		3364
179		1780		37216		3368
180		1777		37229		3365
181		1771		37242		3363
182		1769		37249		3366
183		1768		37253		3366
184		1769		37258		3367
185		1770		37261		3367
186		1771		37266		3366
187		1773		37270		3362
188		1773		37287		3365
189		1771		37293		3367
190		1772		37298		3365
191		1771		37307		3365
192		1772		37316		3364
193		1771		37325		3362
194		1774		37350		3361
195		1774		37355		3360
196		1774		37367		3362
197		1777		37387		3360
198		1775		37402		3359
199		1768		37419		3362
200		1767		37429		3362
201		1769		37445		3358
202		1770		37452		3360
203		1775		37476		3358
204		1773		37488		3358
205		1772		37497		3358
206		1766		37508		3363
207		1770		37517		3359
208		1765		37521		3359
209		1770		37532		3358
210		1764		37542		3359
211		1764		37546		3360
212		1763		37563		3359
213		1764		37569		3359
214		1763		37573		3355
215		1766		37590		3357
216		1765		37599		3362
217		1760		37602		3357
218		1758		37607		3354
219		1759		37612		3357
220		1761		37616		3356
221		1762		37620		3356
222		1762		37622		3356
223		1762		37623		3358
224		1762		37624		3356
225		1762		37626		3357
226		1763		37628		3358
227		1759		37634		3355
228		1760		37636		3356
229		1759		37637		3355
230		1759		37644		3356
231		1759		37646		3356
232		1758		37649		3354
233		1760		37651		3355
234		1759		37654		3354
235		1758		37659		3354
236		1759		37662		3355
237		1760		37668		3356
238		1759		37676		3355
239		1760		37682		3356
240		1763		37684		3354
241		1764		37691		3354
242		1763		37696		3355
243		1762		37704		3356
244		1763		37717		3353
245		1760		37721		3352
246		1763		37727		3351
247		1760		37735		3353
248		1766		37752		3354
249		1763		37763		3353
250		1764		37770		3356
251		1766		37784		3355
252		1766		37796		3356
253		1767		37803		3357
254		1767		37816		3357
255		1772		37827		3354
256		1767		37853		3359
257		1763		37866		3361
258		1764		37872		3364
259		1762		37881		3360
260		1762		37896		3363
261		1764		37909		3361
262		1762		37922		3361
263		1758		37936		3364
264		1746		37952		3363
265		1749		37968		3366
266		1748		37975		3368
267		1748		37983		3366
268		1746		37997		3366
269		1748		38010		3364
270		1754		38030		3364
271		1751		38048		3364
272		1748		38066		3364
273		1747		38075		3365
274		1746		38083		3367
275		1747		38091		3366
276		1746		38101		3366
277		1746		38112		3364
278		1745		38128		3369
279		1745		38139		3368
280		1742		38150		3367
281		1738		38159		3366
282		1739		38167		3367
283		1740		38171		3368
284		1741		38176		3369
285		1737		38186		3367
286		1738		38191		3367
287		1739		38198		3368
288		1739		38203		3367
289		1734		38210		3368
290		1732		38212		3367
291		1731		38218		3366
292		1732		38222		3367
293		1730		38230		3367
294		1730		38236		3366
295		1731		38237		3367
296		1729		38238		3368
297		1729		38238		3368
298		1729		38238		3368
299		1729		38238		3368
300		1727		38239		3368
301		1727		38239		3368
302		1727		38239		3368
303		1727		38239		3368
304		1727		38239		3368
305		1727		38239		3368
306		1727		38239		3368
307		1727		38239		3368
308		1727		38239		3368
309		1727		38239		3368
310		1727		38239		3368
311		1727		38239		3368
312		1727		38239		3368
313		1727		38239		3368
314		1727		38239		3368
315		1727		38239		3368
316		1727		38239		3368
317		1727		38239		3368
318		1727		38239		3368
319		1727		38239		3368
320		1727		38239		3368
321		1727		38239		3368
322		1727		38239		3368
323		1727		38239		3368
324		1727		38239		3368
325		1727		38239		3368
326		1727		38239		3368
327		1727		38239		3368
328		1727		38239		3368
329		1727		38239		3368
330		1727		38239		3368
331		1727		38239		3368
332		1727		38239		3368
333		1727		38239		3368
334		1727		38239		3368
335		1727		38239		3368
336		1727		38239		3368
337		1727		38239		3368
338		1727		38239		3368
339		1727		38239		3368
340		1727		38239		3368
341		1727		38239		3368
342		1727		38239		3368
343		1727		38239		3368
344		1727		38239		3368
345		1727		38239		3368
346		1727		38239		3368
347		1727		38239		3368
348		1727		38239		3368
349		1727		38239		3368
350		1727		38239		3368
351		1727		38239		3368
352		1727		38239		3368
353		1727		38239		3368
354		1727		38239		3368
355		1727		38239		3368
356		1727		38239		3368
357		1727		38239		3368
358		1727		38239		3368
359		1727		38239		3368
360		1727		38239		3368
361		1727		38239		3368
362		1727		38239		3368
363		1727		38239		3368
364		1727		38239		3368
365		1727		38239		3368
366		1727		38239		3368
367		1727		38239		3368
368		1727		38239		3368
369		1727		38239		3368
370		1727		38239		3368
371		1727		38239		3368
372		1727		38239		3368
373		1727		38239		3368
374		1727		38239		3368
375		1727		38239		3368
376		1727		38239		3368
377		1727		38239		3368
378		1727		38239		3368
379		1727		38239		3368
380		1727		38239		3368
381		1727		38239		3368
382		1727		38239		3368
383		1727		38239		3368
384		1727		38239		3368
385		1727		38239		3368
386		1727		38239		3368
387		1727		38239		3368
388		1727		38239		3368
389		1727		38239		3368
390		1727		38239		3368
391		1727		38239		3368
392		1727		38239		3368
393		1727		38239		3368
394		1727		38239		3368
395		1727		38239		3368
396		1727		38239		3368
397		1727		38239		3368
398		1727		38239		3368
399		1727		38239		3368
400		1727		38239		3368
401		1727		38239		3368
402		1727		38239		3368
403		1727		38239		3368
404		1727		38239		3368
405		1727		38239		3368
406		1727		38239		3368
407		1727		38239		3368
408		1727		38239		3368
409		1727		38239		3368
410		1727		38239		3368
411		1727		38239		3368
412		1727		38239		3368
413		1727		38239		3368
414		1727		38239		3368
415		1727		38239		3368
416		1727		38239		3368
417		1727		38239		3368
418		1727		38239		3368
419		1727		38239		3368
420		1727		38239		3368
421		1727		38239		3368
422		1727		38239		3368
423		1727		38239		3368
424		1727		38239		3368
425		1727		38239		3368
426		1727		38239		3368
427		1727		38239		3368
428		1727		38239		3368
429		1727		38239		3368
430		1727		38239		3368
431		1727		38239		3368
432		1727		38239		3368
433		1727		38239		3368
434		1727		38239		3368
435		1727		38239		3368
436		1727		38239		3368
437		1727		38239		3368
438		1727		38239		3368
439		1727		38239		3368
440		1727		38239		3368
441		1727		38239		3368
442		1727		38239		3368
443		1727		38239		3368
444		1727		38239		3368
445		1727		38239		3368
446		1727		38239		3368
447		1727		38239		3368
448		1727		38239		3368
449		1727		38239		3368
450		1727		38239		3368
451		1727		38239		3368
452		1727		38239		3368
453		1727		38239		3368
454		1727		38239		3368
455		1727		38239		3368
456		1727		38239		3368
